Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,102.290001,102.550003,101.169998,101.860001,83.637779,7218600
2014-01-02,101.720001,102.389999,101.690002,102.169998,83.892326,8580800
2014-01-03,101.809998,102.449997,101.760002,102.169998,83.892326,4083800
2014-01-06,102.379997,103.000000,102.370003,102.599998,84.245445,7796200
2014-01-07,102.820000,102.989998,102.559998,102.860001,84.458931,4428100
2014-01-08,102.449997,102.690002,102.099998,102.580002,84.228966,8513000
2014-01-09,102.970001,103.209999,102.510002,103.180000,84.721619,6991100
2014-01-10,103.769997,104.540001,103.690002,104.410004,85.731621,13197400
2014-01-13,104.510002,105.139999,104.470001,104.930000,86.158577,9667400
2014-01-14,104.650002,104.830002,104.389999,104.449997,85.764442,10343100
2014-01-15,104.040001,104.510002,103.930000,104.339996,85.674141,7507500
2014-01-16,104.849998,105.070000,104.720001,105.040001,86.248901,7137700
2014-01-17,104.860001,105.519997,104.790001,105.480003,86.610191,7588600
2014-01-21,105.449997,105.739998,105.400002,105.559998,86.675888,6436000
2014-01-22,105.370003,105.750000,105.239998,105.300003,86.462379,4646700
2014-01-23,105.879997,107.089996,105.879997,106.790001,87.685844,12960600
2014-01-24,107.190002,107.489998,106.989998,107.480003,88.252396,11122200
2014-01-27,107.220001,107.599998,106.699997,106.730003,87.636574,9218200
2014-01-28,106.910004,106.989998,106.550003,106.989998,87.850075,5661500
2014-01-29,107.370003,108.150002,106.989998,107.870003,88.572655,11709400
2014-01-30,107.470001,107.669998,107.110001,107.559998,88.318047,5956900
2014-01-31,108.199997,108.410004,107.849998,108.279999,88.909286,14690900
2014-02-03,107.790001,109.339996,107.610001,109.320000,89.992630,20780300
2014-02-04,108.519997,108.669998,107.970001,108.160004,89.037689,9573500
2014-02-05,107.690002,107.779999,107.010002,107.160004,88.214485,10312200
2014-02-06,106.970001,107.019997,106.519997,106.699997,87.835815,5708700
2014-02-07,106.459999,107.220001,106.440002,106.790001,87.909904,7039200
2014-02-10,106.610001,107.120003,106.570000,107.089996,88.156853,4370500
2014-02-11,106.610001,106.690002,106.160004,106.470001,87.646500,5904900
2014-02-12,106.169998,106.209999,105.620003,105.919998,87.193726,6723300
2014-02-13,106.589996,106.730003,106.300003,106.519997,87.687660,6874600
2014-02-14,106.570000,106.639999,106.269997,106.580002,87.737068,4989100
2014-02-18,106.660004,107.199997,106.620003,106.820000,87.934578,4855800
2014-02-19,107.180000,107.180000,106.300003,106.370003,87.564163,5522500
2014-02-20,106.320000,106.629997,105.690002,106.110001,87.350113,5103200
2014-02-21,105.949997,106.680000,105.949997,106.669998,87.811142,5250700
2014-02-24,106.699997,106.739998,106.169998,106.400002,87.588875,3816700
2014-02-25,106.910004,107.360001,106.889999,107.349998,88.370918,6225400
2014-02-26,107.309998,107.919998,107.239998,107.919998,88.840111,7203900
2014-02-27,108.279999,108.559998,108.099998,108.510002,89.325821,5394700
2014-02-28,108.279999,108.739998,107.779999,108.570000,89.375214,8462600
2014-03-03,108.879997,109.180000,108.639999,109.029999,89.971825,11089400
2014-03-04,108.349998,108.349998,107.360001,107.389999,88.618530,8068100
2014-03-05,107.339996,107.779999,107.199997,107.620003,88.808296,4798500
2014-03-06,106.760002,106.970001,106.519997,106.559998,87.933617,7418200
2014-03-07,105.639999,106.169998,105.599998,105.889999,87.380714,8270300
2014-03-10,105.940002,106.110001,105.779999,106.040001,87.504486,3744300
2014-03-11,105.980003,106.339996,105.779999,106.320000,87.735497,3815700
2014-03-12,106.919998,107.260002,106.779999,107.059998,88.346230,6430500
2014-03-13,106.699997,108.529999,106.650002,108.500000,89.534492,11815500
2014-03-14,108.970001,108.980003,108.320000,108.519997,89.550964,9232800
2014-03-17,108.180000,108.300003,107.669998,107.709999,88.882568,7381900
2014-03-18,107.680000,108.150002,107.599998,108.099998,89.204384,4819500
2014-03-19,107.919998,107.980003,106.809998,107.260002,88.511223,11557600
2014-03-20,107.089996,107.629997,106.989998,107.070000,88.354424,5224400
2014-03-21,107.410004,108.320000,107.370003,108.230003,89.311684,8986200
2014-03-24,108.050003,109.089996,107.949997,109.000000,89.947098,7536400
2014-03-25,108.410004,108.820000,108.169998,108.589996,89.608742,5032000
2014-03-26,108.550003,109.480003,108.480003,109.440002,90.310196,7147200
2014-03-27,109.639999,110.389999,109.419998,109.989998,90.764023,9772200
2014-03-28,109.860001,109.889999,109.019997,109.370003,90.252403,6027000
2014-03-31,108.739998,111.070000,108.339996,109.099998,90.029602,7488400
2014-04-01,108.260002,108.360001,107.839996,107.889999,89.260201,9067300
2014-04-02,107.389999,107.550003,107.169998,107.269997,88.747200,6887200
2014-04-03,107.519997,107.940002,107.440002,107.739998,89.136086,4937400
2014-04-04,107.870003,108.690002,107.849998,108.459999,89.731766,8977500
2014-04-07,108.620003,109.290001,108.599998,109.110001,90.269516,7562500
2014-04-08,109.029999,109.470001,108.720001,109.370003,90.484619,4213800
2014-04-09,108.879997,109.349998,108.639999,108.830002,90.037857,5771500
2014-04-10,108.919998,110.220001,108.900002,109.839996,90.873466,12706400
2014-04-11,110.540001,110.790001,110.129997,110.730003,91.609779,10267000
2014-04-14,110.480003,110.699997,110.300003,110.440002,91.369888,4142600
2014-04-15,110.610001,111.510002,110.349998,111.129997,91.940720,7752000
2014-04-16,110.430000,111.269997,110.379997,111.269997,92.056564,5523000
2014-04-17,111.370003,111.449997,109.699997,110.050003,91.047173,8622500
2014-04-21,110.370003,110.620003,109.839996,109.959999,90.972771,4316300
2014-04-22,109.660004,110.489998,109.610001,110.330002,91.278893,5748700
2014-04-23,110.599998,111.050003,110.529999,110.959999,91.800064,5748600
2014-04-24,110.449997,111.209999,110.449997,111.169998,91.973785,6337800
2014-04-25,111.489998,111.989998,111.320000,111.330002,92.106178,5976500
2014-04-28,111.110001,111.279999,110.550003,110.790001,91.659416,7606000
2014-04-29,110.169998,110.730003,110.040001,110.639999,91.535332,5235200
2014-04-30,110.720001,111.260002,110.379997,111.099998,91.915894,7721400
2014-05-01,110.879997,112.080002,110.839996,112.019997,92.902008,11556500
2014-05-02,111.540001,113.099998,111.300003,112.709999,93.474251,12702100
2014-05-05,112.760002,112.809998,111.889999,112.029999,92.910248,8043000
2014-05-06,112.110001,112.699997,112.040001,112.480003,93.283485,6522600
2014-05-07,112.309998,112.570000,111.940002,112.080002,92.951744,8199200
2014-05-08,112.339996,112.760002,111.459999,111.599998,92.553673,10878800
2014-05-09,111.529999,111.809998,110.980003,111.239998,92.255112,6000600
2014-05-12,111.010002,111.129997,110.540001,110.790001,91.881874,4563800
2014-05-13,111.440002,111.750000,111.330002,111.750000,92.678062,5501000
2014-05-14,112.629997,113.230003,112.559998,112.959999,93.681572,8851400
2014-05-15,113.779999,114.410004,113.599998,113.860001,94.427963,12627900
2014-05-16,113.610001,114.000000,113.419998,113.540001,94.162590,5019200
2014-05-19,113.930000,113.959999,112.620003,112.699997,93.465935,7403300
2014-05-20,112.599998,113.480003,112.589996,112.949997,93.673264,6549800
2014-05-21,112.220001,112.400002,111.870003,112.260002,93.101013,8224600
2014-05-22,112.260002,112.400002,111.790001,112.099998,92.968323,6495700
2014-05-23,112.519997,112.910004,112.449997,112.699997,93.465935,3835000
2014-05-27,112.849998,113.400002,112.400002,113.360001,94.013313,6658300
2014-05-28,114.099998,114.839996,114.089996,114.760002,95.174347,10361000
2014-05-29,114.870003,115.190002,114.129997,114.150002,94.668465,10692000
2014-05-30,113.959999,114.400002,113.809998,114.099998,94.627014,6518900
2014-06-02,113.040001,113.680000,112.550003,112.959999,93.923561,11728200
2014-06-03,112.410004,112.540001,111.510002,111.570000,92.767815,12694100
2014-06-04,111.760002,111.820000,111.269997,111.540001,92.742867,7882000
2014-06-05,111.129997,111.970001,111.019997,111.589996,92.784470,6915600
2014-06-06,112.129997,112.410004,111.489998,111.589996,92.784470,7832800
2014-06-09,111.449997,111.639999,111.199997,111.430000,92.651398,5162800
2014-06-10,111.040001,111.269997,110.830002,111.019997,92.310524,5986000
2014-06-11,111.260002,111.540001,110.849998,111.220001,92.476822,5569700
2014-06-12,111.300003,112.349998,111.000000,112.209999,93.299950,9775900
2014-06-13,111.570000,112.620003,111.529999,112.150002,93.250069,5412500
2014-06-16,112.209999,112.629997,112.099998,112.430000,93.482864,5184600
2014-06-17,112.070000,112.089996,111.480003,111.540001,92.742867,6668800
2014-06-18,111.800003,112.760002,111.559998,112.400002,93.457939,11256500
2014-06-19,112.510002,112.559998,110.739998,110.959999,92.260590,14215500
2014-06-20,110.970001,111.800003,110.900002,111.800003,92.959045,7319100
2014-06-23,112.080002,112.180000,111.410004,111.449997,92.668060,5821700
2014-06-24,112.150002,112.650002,111.820000,112.580002,93.607651,9698300
2014-06-25,113.099998,113.360001,112.690002,112.870003,93.848709,5699300
2014-06-26,113.209999,113.800003,113.209999,113.410004,94.297729,6628900
2014-06-27,113.680000,113.820000,113.169998,113.239998,94.156380,7216500
2014-06-30,113.559998,113.800003,113.089996,113.519997,94.389214,5593100
2014-07-01,112.500000,112.739998,112.199997,112.279999,93.598915,8019200
2014-07-02,111.629997,111.669998,110.970001,111.080002,92.598587,9382500
2014-07-03,110.379997,110.860001,110.339996,110.680000,92.265129,6173900
2014-07-07,111.269997,111.809998,111.230003,111.489998,92.940369,5928900
2014-07-08,112.239998,112.860001,112.239998,112.739998,93.982361,6352100
2014-07-09,112.660004,113.139999,112.379997,112.830002,94.057388,6395200
2014-07-10,113.540001,113.660004,112.820000,112.860001,94.082413,7196900
2014-07-11,113.349998,113.680000,113.279999,113.580002,94.682663,4676500
2014-07-14,113.279999,113.410004,112.930000,113.089996,94.274147,4743300
2014-07-15,112.830002,113.470001,112.500000,112.860001,94.082413,7720000
2014-07-16,113.000000,113.580002,112.940002,113.459999,94.582619,4615800
2014-07-17,114.230003,115.050003,113.940002,114.889999,95.774666,10901000
2014-07-18,114.879997,114.959999,114.110001,114.519997,95.466225,6677900
2014-07-21,115.010002,115.629997,115.010002,115.089996,95.941368,5724100
2014-07-22,115.089996,115.459999,114.650002,115.330002,96.141472,5753200
2014-07-23,115.510002,115.629997,115.169998,115.180000,96.016434,3489600
2014-07-24,114.519997,114.580002,114.250000,114.320000,95.299530,6609000
2014-07-25,115.339996,115.680000,115.160004,115.669998,96.424904,7041800
2014-07-28,115.589996,115.900002,115.120003,115.510002,96.291519,5138300
